iso,nom,name,institutionsFR,institutionsEN,exactions,baroNetPrison,baroNetTue,baroJournalistePrison,baroJournalisteTue,index2014,capitaleFR,latitudeCapitale,longitudeCapitale
PRK,Corée du Nord,DPRK,"""Agence centrale de l'Information Scientifique et Technologique (CSTIA)""","""Central Scientific and Technological Information Agency (CSTIA)""","""Censure"", ""Surveillance, ""Désinformation"", ""Prison""",1,,,,179,Pyongyang,39.2N,125.45E
ETH,Ethiopie,Ethiopia,"""Agence de sécurité des réseaux d'information (INS)""","""The Information Network Security Agency (INS)""","""Surveillance"", ""Censure"", ""Prison""",,,5,,143,Addis Ababa,09.02N,38.42E
ARE,Emirats arabes unis,United Arab Emirates,"""Autorité de régulation des télécommunications (TRA)"", ""Unités de lutte contre la cybercriminalité""","""Telecommunications Regulatory Authority (TRA)"", ""Anti-Electronic Crimes Unit""","""Surveillance"", ""Censure"", ""Prison""",2,0,0,,118,Abu Dhabi,24.28N,54.22E
PAK,Pakistan,Pakistan,"""Autorité des Télécommunications du Pakistan (PTA)""","""Pakistan Telecommunication Authority (PTA)""","""Censure""",,,1,,158,Islamabad,33.40N,73.10E
IND,Inde,India,"""Centre de développement des télématiques (C-DOT)""","""Center for Development of Telematics (C-DOT)""","""Surveillance""",,,2,,140,New Delhi,28.37N,77.13E
UZB,Ouzbékistan,Uzbekistan,"""Commission d’experts sur l’information et les communications de masse""",,"""Surveilance"", ""Censure"", ""Prison""",,,9,,166,Tashkent,41.20N,69.10E
SAU,Arabie saoudite,Saudi Arabia,"""Commission en charge des communications et des technologies de l’information CITC"", ""Unité des services d’Internet (ISU)""","""Communication and Information Technology Commission (CITC)"", ""Unité des services d’Internet (ISU)""","""Censure"", ""Surveillance"", ""Prison""",1,,1,,164,Riyadh,24.41N,46.42E
IRN,Iran,Islamic Republic of Iran,"""Gardiens de la révolution"", ""Conseil suprême du cyberespace"", ""Groupe de travail de détermination de contenus criminels""","""Revolutionary Guards"", ""Supreme Council for Cyberspace"", "" Working Group for Identifying Criminal Content""","""Censure"", ""Prison""",21,,20,,173,Teheran,35.4029N,51.2520E
GBR,Royaume-Uni,United Kingdom,"""Government Communications Headquarters (GCHQ)""","""Government Communications Headquarters (GCHQ)""","""Surveillance""",,,,,33,London,51.36N,00.05W
BHR,Bahreïn,Bahrain,"""Haute Autorité de régulation des télécommunications (TRA)"", ""Haute Autorité pour les Affaires de l’information (IAA)"", ""Département Cyber-criminalité du ministère de l’Intérieur""","""The Telecommunications Regulatory Authority (TRA)"", ""Information Affairs Authority (IAA)"", ""Cyber Safety Directorate""","""Surveillance"", ""Censure"", ""Prison""",2,,4,,163,Manama,26.10N,50.30E
ZAF,Afrique du Sud,South Africa,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,42,Pretoria,25.44S,28.12E
BRA,Brésil,Brazil,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,111,Brasilia,15.47S,47.55W
ARE,Emirats arabes unis,United Arab Emirates,"""ISS World""","""ISS World""","""Surveillance""",2,0,0,0,118,Abu Dhabi,24.28N,54.22E
USA,Etats-Unis,United States,"""ISS World""","""ISS World""","""Surveillance""",1,0,1,0,46,Washington,38.53N,77.02W
MYS,Malaisie,Malaysia,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,147,Kuala Lumpur,03.09N,101.41E
CZE,République tchèque,Czech Republic,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,13,Prague,50.05N,14.22E
CHN,Chine,China,"""Le Bureau d'Etat de l'information sur Internet""","""State Internet Information Office""","""Censure"", ""Surveillance"", ""Prison""",70,,30,,175,Beijing,39.55N,116.20E
BLR,Bélarus,Belarus,"""Le Centre Analytique des Opérations (OAC)""","""Operations and Analysis Centre (OAC)""","""Censure"", ""Surveillance"", ""Prison""",,,,,157,Minsk,53.52N,27.30E
CUB,Cuba,Cuba,"""Le ministère de l’Informatique et des Communications """,,"""Censure"", ""Surveillance"", ""Prison""",1,,1,,170,Havana,23.08N,82.22W
QAT,Qatar,Qatar,"""Milipol""","""Milipol""","""Surveillance""",0,0,0,0,113,Doha,25.15N,51.35E
FRA,France,France,"""Milipol"",""TAC""","""Milipol"",""TAC""","""Surveillance""",0,0,0,0,39,Paris,48.50N,02.20E
VNM,Vietnam,Vietnam,"""Ministère de l’Information et des Communications (MIC)""","""Ministry of Information and Communications (MIC)""","""Surveillance"", ""Censure"", ""Prison""",34,,2,,174,Hanoï,21.2N,105.51E
USA,Etats-Unis,United States,"""National Security Agency (NSA)""","""National Security Agency (NSA)""","""Surveillance"", ""Prison""",1,,1,,46,Washington,38.53N,77.02W
RUS,Russie,Russian Federation,"""Service fédéral de sécurité de la Fédération de Russie (FSB)""","""Federal Security Service of the Russian Federation (FSB)""","""Surveillance"", ""Censure"", ""Prison""",,,2,,148,Moscou,55.45N,37.42E
SDN,Soudan,Sudan,"""Service national de la sûreté et du renseignement (NISS)"", ""Unité de cyber-jihad"", ""Société nationale des télécommunications (NTC)""","""National Intelligence and Security Service (NISS)"", ""Cyber-Jihadist Unit"", ""National Telecommunication Corporation (NTC)""
","""Surveillance"", ""Censure"", ""Prison""",,,1,,172,Khartoum,15.31N,32.35E
SYR,Syrie,Syrian Arab Republic,"""Syrian Telecommunications Establishment (STE)"", ""Syrian Computer Society (SCS)""","""Syrian Telecommunications Establishment (STE)"", ""Syrian Computer Society (SCS)""","""Surveillance"", ""Censure"", ""Prison""",22,3,19,,177,Damas,33.3132N,36.1852E
TKM,Turkménistan,Turkmenistan,TurkmenTelekom,TurkmenTelekom,"""Censure"", ""Prison""",,,,,178,Ashgabat,38.00N,57.50E
